City Name,"Type of Waste organic, inorganic, wet, dry, mix",Quantity tpd,"Process technology Composting , Incineration ,Landfill ,Recycling , Windrow Composting , Anaerobic Digestion , Production of Refused Driven Fuel , Biomethanation ,Plasma Pyrolosis",Plant location address,Plant capacity TPD,Waste to Energy initiative Y/N,Power generated by Waste-to-Energy initiative in MW
Agra,Wet Waste,20,Composting,Near Kuberpur Landfill,20,N,NA
Agra,Wet Waste,1.29775,Composting,Inhouse by various Households,1.3,N,NA
Agra,"Wet Waste 
(Flower waste)",2,Composting,Rajnagar Shoe Exhibition,2,N,NA
Agra,Wet Waste,2,Composting,Near Rajnagar Flower to compost Plant Fatehpur Sikhri road,2,N,NA
Agra,Wet Waste,1,Composting,Near M and T workshop Transport nagar,1,N,NA
Agra,Wet Waste,4,Composting,Near Dhandhupura STP,4,N,NA
Agra,Dry Waste,1.2,Material Recovery Facility,Kothi Meen Bazaar Satto Halwai triangle,1.2,N,NA
Agra,Dry Waste,1.2,Material Recovery Facility,Tajganj basai police chowki triangle,1.2,N,NA
Agra,Dry Waste,240,Material Recovery Facility,Rambagh NH 93 Opposite GAIL Office Tedhibagiya,240,N,NA
Agra,Wet Waste,214,Composting,Kuberpur Landfill site compound,214,N,NA
Agra,"Wet Waste 
(Park Waste)",3,Composting,In total at 75 parks,3,N,NA
